2021-02-06/18:03:06		Start of Validation on files!!
2021-02-06/18:03:32		Raw Data Validation Complete!!
2021-02-06/18:03:32		Starting Data Transforamtion!!
2021-02-06/18:03:48		DataTransformation Completed!!!
2021-02-06/18:03:48		Creating Training_Database and tables on the basis of given schema!!!
2021-02-06/18:04:02		Table creation Completed!!
2021-02-06/18:04:02		Insertion of Data into Table started!!!!
2021-02-06/18:04:10		Insertion in Table completed!!!
2021-02-06/18:04:10		Deleting Good Data Folder!!!
2021-02-06/18:04:10		Good_Data folder deleted!!!
2021-02-06/18:04:10		Moving bad files to Archive and deleting Bad_Data folder!!!
2021-02-06/18:04:10		Bad files moved to archive!! Bad folder Deleted!!
2021-02-06/18:04:10		Validation Operation completed!!
2021-02-06/18:04:10		Extracting csv file from table
